ShimID,Customer Feedback,Breakage (Yes/No)
167,"Positive, no issues",No
168,"Positive, no issues",No
169,"Positive, no issues",No
170,"Positive, no issues",No
171,"Positive, no issues",No
172,"Positive, no issues",No
173,Crack appeared,Yes
174,Crack appeared,Yes
175,"Positive, no issues",No
176,"Positive, no issues",No
177,Shim worn out quickly,Yes
178,"Positive, no issues",No
179,Crack appeared,Yes
180,Shim broke after 2 months,Yes
181,Crack appeared,Yes
182,"Positive, no issues",No
183,Crack appeared,Yes
184,Shim broke after 2 months,Yes
185,"Positive, no issues",No
186,"Positive, no issues",No
187,Shim broke after 2 months,Yes
188,"Positive, no issues",No
189,Shim broke after 2 months,Yes
190,Crack appeared,Yes
191,"Positive, no issues",No
192,Shim broke after 2 months,Yes
193,"Positive, no issues",No
194,Shim worn out quickly,Yes
195,Shim worn out quickly,Yes
196,Crack appeared,Yes
197,Shim worn out quickly,Yes
198,Shim worn out quickly,Yes
199,"Positive, no issues",No
200,"Positive, no issues",No
201,"Positive, no issues",No
202,Crack appeared,Yes
203,Crack appeared,Yes
204,"Positive, no issues",No
205,"Positive, no issues",No
206,"Positive, no issues",No
207,"Positive, no issues",No
208,Shim worn out quickly,Yes
209,Shim worn out quickly,Yes
210,"Positive, no issues",No
211,"Positive, no issues",No
212,Shim broke after 2 months,Yes
213,"Positive, no issues",No
214,Shim worn out quickly,Yes
215,Shim worn out quickly,Yes
216,Shim broke after 2 months,Yes
217,Shim broke after 2 months,Yes
218,"Positive, no issues",No
219,Shim broke after 2 months,Yes
220,"Positive, no issues",No
221,Crack appeared,Yes
222,"Positive, no issues",No
223,Shim broke after 2 months,Yes
224,Shim broke after 2 months,Yes
225,Shim worn out quickly,Yes
226,Crack appeared,Yes
227,Shim worn out quickly,Yes
228,"Positive, no issues",No
229,"Positive, no issues",No
230,Shim broke after 2 months,Yes
231,Crack appeared,Yes
232,"Positive, no issues",No
233,Crack appeared,Yes
234,"Positive, no issues",No
235,Crack appeared,Yes
236,Shim worn out quickly,Yes
237,Shim worn out quickly,Yes
238,Crack appeared,Yes
239,Shim broke after 2 months,Yes
240,Shim worn out quickly,Yes
241,Shim broke after 2 months,Yes
242,"Positive, no issues",No
243,"Positive, no issues",No
244,Crack appeared,Yes
245,"Positive, no issues",No
246,Shim broke after 2 months,Yes
247,"Positive, no issues",No
248,Crack appeared,Yes
249,Shim worn out quickly,Yes
250,Crack appeared,Yes
251,"Positive, no issues",No
252,Crack appeared,Yes
253,"Positive, no issues",No
254,Shim worn out quickly,Yes
255,"Positive, no issues",No
256,Shim broke after 2 months,Yes
257,"Positive, no issues",No
258,"Positive, no issues",No
259,Shim broke after 2 months,Yes
260,Shim worn out quickly,Yes
261,Crack appeared,Yes
262,Crack appeared,Yes
263,"Positive, no issues",No
264,Shim worn out quickly,Yes
265,Shim worn out quickly,Yes
266,Shim worn out quickly,Yes
267,"Positive, no issues",No
268,"Positive, no issues",No
269,"Positive, no issues",No
270,"Positive, no issues",No
271,"Positive, no issues",No
272,"Positive, no issues",No
273,Crack appeared,Yes
274,"Positive, no issues",No
275,"Positive, no issues",No
276,"Positive, no issues",No
277,"Positive, no issues",No
278,"Positive, no issues",No
279,"Positive, no issues",No
280,"Positive, no issues",No
281,Shim broke after 2 months,Yes
282,Shim worn out quickly,Yes
283,"Positive, no issues",No
284,Shim worn out quickly,Yes
285,Shim broke after 2 months,Yes
286,"Positive, no issues",No
287,Crack appeared,Yes
288,"Positive, no issues",No
289,Shim worn out quickly,Yes
290,Crack appeared,Yes
291,Shim broke after 2 months,Yes
292,"Positive, no issues",No
293,"Positive, no issues",No
294,"Positive, no issues",No
295,"Positive, no issues",No
296,"Positive, no issues",No
297,"Positive, no issues",No
298,Shim worn out quickly,Yes
299,Crack appeared,Yes
300,"Positive, no issues",No
301,Crack appeared,Yes
302,"Positive, no issues",No
303,Shim broke after 2 months,Yes
304,"Positive, no issues",No
305,Crack appeared,Yes
306,"Positive, no issues",No
307,Shim broke after 2 months,Yes
308,"Positive, no issues",No
309,Crack appeared,Yes
310,Shim broke after 2 months,Yes
311,Shim worn out quickly,Yes
312,Shim worn out quickly,Yes
313,Crack appeared,Yes
314,"Positive, no issues",No
315,Shim worn out quickly,Yes
316,Crack appeared,Yes
317,"Positive, no issues",No
318,"Positive, no issues",No
319,Shim worn out quickly,Yes
320,Crack appeared,Yes
321,"Positive, no issues",No
322,"Positive, no issues",No
323,"Positive, no issues",No
324,Shim worn out quickly,Yes
325,Crack appeared,Yes
326,"Positive, no issues",No
327,"Positive, no issues",No
328,"Positive, no issues",No
329,"Positive, no issues",No
330,Shim worn out quickly,Yes
331,Shim worn out quickly,Yes
332,Shim worn out quickly,Yes
333,"Positive, no issues",No
334,Shim broke after 2 months,Yes
335,Shim worn out quickly,Yes
336,"Positive, no issues",No
337,Shim worn out quickly,Yes
338,"Positive, no issues",No
339,Crack appeared,Yes
340,Shim worn out quickly,Yes
341,"Positive, no issues",No
342,Crack appeared,Yes
343,"Positive, no issues",No
344,Shim worn out quickly,Yes
345,"Positive, no issues",No
346,"Positive, no issues",No
347,"Positive, no issues",No
348,Shim worn out quickly,Yes
349,Shim broke after 2 months,Yes
350,"Positive, no issues",No
351,"Positive, no issues",No
352,Shim broke after 2 months,Yes
353,"Positive, no issues",No
354,"Positive, no issues",No
355,Shim broke after 2 months,Yes
356,Crack appeared,Yes
357,Crack appeared,Yes
358,"Positive, no issues",No
359,Shim broke after 2 months,Yes
360,Shim broke after 2 months,Yes
361,Shim worn out quickly,Yes
362,"Positive, no issues",No
363,Shim broke after 2 months,Yes
364,Shim broke after 2 months,Yes
365,"Positive, no issues",No
366,"Positive, no issues",No
367,"Positive, no issues",No
368,Crack appeared,Yes
369,"Positive, no issues",No
370,Shim worn out quickly,Yes
371,Shim broke after 2 months,Yes
372,Shim worn out quickly,Yes
373,Shim broke after 2 months,Yes
374,Shim worn out quickly,Yes
375,"Positive, no issues",No
376,"Positive, no issues",No
377,Shim worn out quickly,Yes
378,Shim broke after 2 months,Yes
379,Shim broke after 2 months,Yes
380,"Positive, no issues",No
381,"Positive, no issues",No
382,Shim broke after 2 months,Yes
383,Shim broke after 2 months,Yes
384,"Positive, no issues",No
385,Shim worn out quickly,Yes
386,"Positive, no issues",No
387,Crack appeared,Yes
388,"Positive, no issues",No
389,Shim broke after 2 months,Yes
390,"Positive, no issues",No
391,"Positive, no issues",No
392,"Positive, no issues",No
393,"Positive, no issues",No
394,"Positive, no issues",No
395,Shim broke after 2 months,Yes
396,"Positive, no issues",No
397,"Positive, no issues",No
398,Crack appeared,Yes
399,Crack appeared,Yes
400,Shim broke after 2 months,Yes
401,Shim broke after 2 months,Yes
402,"Positive, no issues",No
403,"Positive, no issues",No
404,"Positive, no issues",No
405,Shim broke after 2 months,Yes
406,Shim worn out quickly,Yes
407,Shim broke after 2 months,Yes
408,"Positive, no issues",No
409,"Positive, no issues",No
410,Shim worn out quickly,Yes
411,"Positive, no issues",No
412,Shim worn out quickly,Yes
413,"Positive, no issues",No
414,"Positive, no issues",No
415,"Positive, no issues",No
416,"Positive, no issues",No
417,"Positive, no issues",No
418,Shim worn out quickly,Yes
419,"Positive, no issues",No
420,"Positive, no issues",No
421,"Positive, no issues",No
422,Crack appeared,Yes
423,Shim broke after 2 months,Yes
424,"Positive, no issues",No
425,Shim broke after 2 months,Yes
426,"Positive, no issues",No
427,Shim broke after 2 months,Yes
428,Shim worn out quickly,Yes
429,Shim broke after 2 months,Yes
430,Shim worn out quickly,Yes
431,Shim broke after 2 months,Yes
432,Crack appeared,Yes
433,Shim worn out quickly,Yes
434,"Positive, no issues",No
435,"Positive, no issues",No
436,"Positive, no issues",No
437,"Positive, no issues",No
438,"Positive, no issues",No
439,"Positive, no issues",No
440,"Positive, no issues",No
441,"Positive, no issues",No
442,"Positive, no issues",No
443,"Positive, no issues",No
444,"Positive, no issues",No
445,"Positive, no issues",No
446,Shim worn out quickly,Yes
447,Shim broke after 2 months,Yes
448,Crack appeared,Yes
449,Crack appeared,Yes
450,"Positive, no issues",No
451,Shim worn out quickly,Yes
452,"Positive, no issues",No
453,Shim worn out quickly,Yes
454,"Positive, no issues",No
455,Shim worn out quickly,Yes
456,"Positive, no issues",No
457,"Positive, no issues",No
458,Crack appeared,Yes
459,Crack appeared,Yes
460,Crack appeared,Yes
461,Crack appeared,Yes
462,"Positive, no issues",No
463,Shim broke after 2 months,Yes
464,Shim worn out quickly,Yes
465,Shim worn out quickly,Yes
466,"Positive, no issues",No
467,"Positive, no issues",No
468,Shim worn out quickly,Yes
469,"Positive, no issues",No
470,"Positive, no issues",No
471,"Positive, no issues",No
472,Shim broke after 2 months,Yes
473,"Positive, no issues",No
474,Shim broke after 2 months,Yes
475,"Positive, no issues",No
476,Shim broke after 2 months,Yes
477,Shim worn out quickly,Yes
478,Crack appeared,Yes
479,Crack appeared,Yes
480,"Positive, no issues",No
481,Shim worn out quickly,Yes
482,"Positive, no issues",No
483,"Positive, no issues",No
484,"Positive, no issues",No
485,Shim broke after 2 months,Yes
486,"Positive, no issues",No
487,"Positive, no issues",No
488,Shim worn out quickly,Yes
489,"Positive, no issues",No
490,Crack appeared,Yes
491,"Positive, no issues",No
492,Shim worn out quickly,Yes
493,"Positive, no issues",No
494,"Positive, no issues",No
495,Shim worn out quickly,Yes
496,Shim worn out quickly,Yes
497,"Positive, no issues",No
498,"Positive, no issues",No
499,Crack appeared,Yes
500,Shim broke after 2 months,Yes
501,Shim worn out quickly,Yes
502,Shim worn out quickly,Yes
503,Shim worn out quickly,Yes
504,"Positive, no issues",No
505,Crack appeared,Yes
506,Shim broke after 2 months,Yes
507,"Positive, no issues",No
508,Shim worn out quickly,Yes
509,"Positive, no issues",No
510,Crack appeared,Yes
511,"Positive, no issues",No
512,Crack appeared,Yes
513,Shim broke after 2 months,Yes
514,Shim worn out quickly,Yes
515,"Positive, no issues",No
516,"Positive, no issues",No
517,Crack appeared,Yes
518,Shim broke after 2 months,Yes
519,"Positive, no issues",No
520,Crack appeared,Yes
521,Shim worn out quickly,Yes
522,"Positive, no issues",No
523,Crack appeared,Yes
524,"Positive, no issues",No
525,Crack appeared,Yes
526,"Positive, no issues",No
527,Shim worn out quickly,Yes
528,Shim worn out quickly,Yes
529,Crack appeared,Yes
530,Shim worn out quickly,Yes
531,Crack appeared,Yes
532,"Positive, no issues",No
533,Shim worn out quickly,Yes
534,Shim broke after 2 months,Yes
535,"Positive, no issues",No
536,Crack appeared,Yes
537,"Positive, no issues",No
538,Crack appeared,Yes
539,"Positive, no issues",No
540,"Positive, no issues",No
541,Crack appeared,Yes
542,"Positive, no issues",No
543,Shim worn out quickly,Yes
544,"Positive, no issues",No
545,Shim worn out quickly,Yes
546,"Positive, no issues",No
547,"Positive, no issues",No
548,Shim worn out quickly,Yes
549,Crack appeared,Yes
550,Crack appeared,Yes
551,Shim broke after 2 months,Yes
552,"Positive, no issues",No
553,"Positive, no issues",No
554,"Positive, no issues",No
555,"Positive, no issues",No
556,Shim worn out quickly,Yes
557,Shim broke after 2 months,Yes
558,Shim worn out quickly,Yes
559,"Positive, no issues",No
560,"Positive, no issues",No
561,Shim worn out quickly,Yes
562,Crack appeared,Yes
563,Crack appeared,Yes
564,Shim worn out quickly,Yes
565,Shim broke after 2 months,Yes
566,"Positive, no issues",No
567,Shim broke after 2 months,Yes
568,Shim broke after 2 months,Yes
569,"Positive, no issues",No
570,"Positive, no issues",No
571,"Positive, no issues",No
572,"Positive, no issues",No
573,Crack appeared,Yes
574,"Positive, no issues",No
575,Crack appeared,Yes
576,Crack appeared,Yes
577,Crack appeared,Yes
578,"Positive, no issues",No
579,Shim broke after 2 months,Yes
580,"Positive, no issues",No
581,"Positive, no issues",No
582,Crack appeared,Yes
583,"Positive, no issues",No
584,Crack appeared,Yes
585,Crack appeared,Yes
586,Crack appeared,Yes
587,Crack appeared,Yes
588,"Positive, no issues",No
589,"Positive, no issues",No
590,Crack appeared,Yes
591,Shim broke after 2 months,Yes
592,Shim worn out quickly,Yes
593,Crack appeared,Yes
594,"Positive, no issues",No
595,Crack appeared,Yes
596,"Positive, no issues",No
597,"Positive, no issues",No
598,"Positive, no issues",No
599,"Positive, no issues",No
600,"Positive, no issues",No
601,Shim worn out quickly,Yes
602,"Positive, no issues",No
603,Shim broke after 2 months,Yes
604,Shim worn out quickly,Yes
605,"Positive, no issues",No
606,Shim broke after 2 months,Yes
607,"Positive, no issues",No
608,"Positive, no issues",No
609,Shim broke after 2 months,Yes
610,Shim worn out quickly,Yes
611,Shim broke after 2 months,Yes
612,"Positive, no issues",No
613,"Positive, no issues",No
614,Shim broke after 2 months,Yes
615,"Positive, no issues",No
616,Crack appeared,Yes
617,Shim worn out quickly,Yes
618,Shim worn out quickly,Yes
619,"Positive, no issues",No
620,"Positive, no issues",No
621,"Positive, no issues",No
622,"Positive, no issues",No
623,Shim worn out quickly,Yes
624,Shim broke after 2 months,Yes
625,Shim broke after 2 months,Yes
626,Shim worn out quickly,Yes
627,"Positive, no issues",No
628,Shim broke after 2 months,Yes
629,"Positive, no issues",No
630,Crack appeared,Yes
631,Shim broke after 2 months,Yes
632,Shim worn out quickly,Yes
633,Shim worn out quickly,Yes
634,"Positive, no issues",No
635,Crack appeared,Yes
636,Shim worn out quickly,Yes
637,"Positive, no issues",No
638,Shim broke after 2 months,Yes
639,"Positive, no issues",No
640,Crack appeared,Yes
641,Shim broke after 2 months,Yes
642,Shim worn out quickly,Yes
643,"Positive, no issues",No
644,"Positive, no issues",No
645,"Positive, no issues",No
646,Shim worn out quickly,Yes
647,"Positive, no issues",No
648,"Positive, no issues",No
649,"Positive, no issues",No
650,Shim worn out quickly,Yes
651,"Positive, no issues",No
652,Crack appeared,Yes
653,"Positive, no issues",No
654,Shim broke after 2 months,Yes
655,Shim worn out quickly,Yes
656,Shim worn out quickly,Yes
657,"Positive, no issues",No
658,"Positive, no issues",No
659,"Positive, no issues",No
660,Shim worn out quickly,Yes
661,"Positive, no issues",No
662,"Positive, no issues",No
663,"Positive, no issues",No
664,"Positive, no issues",No
665,"Positive, no issues",No
666,"Positive, no issues",No
667,"Positive, no issues",No
668,Shim worn out quickly,Yes
669,"Positive, no issues",No
670,"Positive, no issues",No
671,Shim worn out quickly,Yes
672,Shim worn out quickly,Yes
673,Shim worn out quickly,Yes
674,"Positive, no issues",No
675,"Positive, no issues",No
676,Crack appeared,Yes
677,"Positive, no issues",No
678,Crack appeared,Yes
679,Crack appeared,Yes
680,Crack appeared,Yes
681,"Positive, no issues",No
682,Shim broke after 2 months,Yes
683,Shim worn out quickly,Yes
684,Shim worn out quickly,Yes
685,Crack appeared,Yes
686,Crack appeared,Yes
687,Crack appeared,Yes
688,Shim worn out quickly,Yes
689,"Positive, no issues",No
690,"Positive, no issues",No
691,"Positive, no issues",No
692,Shim worn out quickly,Yes
693,Crack appeared,Yes
694,"Positive, no issues",No
695,"Positive, no issues",No
696,Crack appeared,Yes
697,Shim broke after 2 months,Yes
698,Crack appeared,Yes
699,"Positive, no issues",No
700,"Positive, no issues",No
701,"Positive, no issues",No
702,"Positive, no issues",No
703,Crack appeared,Yes
704,Shim worn out quickly,Yes
705,"Positive, no issues",No
706,Shim worn out quickly,Yes
707,Crack appeared,Yes
708,"Positive, no issues",No
709,"Positive, no issues",No
710,"Positive, no issues",No
711,"Positive, no issues",No
712,Shim broke after 2 months,Yes
713,"Positive, no issues",No
714,Shim broke after 2 months,Yes
715,"Positive, no issues",No
716,Crack appeared,Yes
717,Shim worn out quickly,Yes
718,"Positive, no issues",No
719,Crack appeared,Yes
720,Crack appeared,Yes
721,Crack appeared,Yes
722,Shim broke after 2 months,Yes
723,"Positive, no issues",No
724,Shim broke after 2 months,Yes
725,Crack appeared,Yes
726,"Positive, no issues",No
727,"Positive, no issues",No
728,"Positive, no issues",No
729,"Positive, no issues",No
730,Shim broke after 2 months,Yes
731,Shim worn out quickly,Yes
732,Shim broke after 2 months,Yes
733,Shim broke after 2 months,Yes
734,Shim broke after 2 months,Yes
735,"Positive, no issues",No
736,"Positive, no issues",No
737,Crack appeared,Yes
738,Crack appeared,Yes
739,"Positive, no issues",No
740,"Positive, no issues",No
741,"Positive, no issues",No
742,"Positive, no issues",No
743,Shim broke after 2 months,Yes
744,Shim worn out quickly,Yes
745,Shim broke after 2 months,Yes
746,"Positive, no issues",No
747,Shim worn out quickly,Yes
748,"Positive, no issues",No
749,Shim broke after 2 months,Yes
750,Shim broke after 2 months,Yes
751,"Positive, no issues",No
752,Crack appeared,Yes
753,Shim worn out quickly,Yes
754,Shim broke after 2 months,Yes
755,Shim broke after 2 months,Yes
756,"Positive, no issues",No
757,Crack appeared,Yes
758,Shim worn out quickly,Yes
759,"Positive, no issues",No
760,"Positive, no issues",No
761,"Positive, no issues",No
762,Crack appeared,Yes
763,Shim worn out quickly,Yes
764,Shim broke after 2 months,Yes
765,"Positive, no issues",No
766,"Positive, no issues",No
767,Crack appeared,Yes
768,Shim broke after 2 months,Yes
769,Crack appeared,Yes
770,Shim broke after 2 months,Yes
771,"Positive, no issues",No
772,Crack appeared,Yes
773,"Positive, no issues",No
774,"Positive, no issues",No
775,"Positive, no issues",No
776,"Positive, no issues",No
777,Shim worn out quickly,Yes
778,"Positive, no issues",No
779,Crack appeared,Yes
780,Crack appeared,Yes
781,"Positive, no issues",No
782,"Positive, no issues",No
783,Shim worn out quickly,Yes
784,"Positive, no issues",No
785,"Positive, no issues",No
786,"Positive, no issues",No
787,Shim broke after 2 months,Yes
788,Crack appeared,Yes
789,Shim broke after 2 months,Yes
790,"Positive, no issues",No
791,Shim worn out quickly,Yes
792,"Positive, no issues",No
793,"Positive, no issues",No
794,"Positive, no issues",No
795,"Positive, no issues",No
796,Crack appeared,Yes
797,"Positive, no issues",No
798,"Positive, no issues",No
799,Shim worn out quickly,Yes
800,"Positive, no issues",No
801,"Positive, no issues",No
802,"Positive, no issues",No
803,"Positive, no issues",No
804,"Positive, no issues",No
805,"Positive, no issues",No
806,"Positive, no issues",No
807,"Positive, no issues",No
808,"Positive, no issues",No
809,"Positive, no issues",No
810,Shim broke after 2 months,Yes
811,"Positive, no issues",No
812,Shim worn out quickly,Yes
813,"Positive, no issues",No
814,"Positive, no issues",No
815,Shim worn out quickly,Yes
816,"Positive, no issues",No
817,"Positive, no issues",No
818,Shim worn out quickly,Yes
819,"Positive, no issues",No
820,Crack appeared,Yes
821,Shim worn out quickly,Yes
822,"Positive, no issues",No
823,"Positive, no issues",No
824,Shim worn out quickly,Yes
825,"Positive, no issues",No
826,"Positive, no issues",No
827,Crack appeared,Yes
828,"Positive, no issues",No
829,Shim broke after 2 months,Yes
830,"Positive, no issues",No
831,"Positive, no issues",No
832,Shim worn out quickly,Yes
833,Crack appeared,Yes
834,"Positive, no issues",No
835,"Positive, no issues",No
836,Shim worn out quickly,Yes
837,Crack appeared,Yes
838,Crack appeared,Yes
839,"Positive, no issues",No
840,Shim broke after 2 months,Yes
841,Shim broke after 2 months,Yes
842,"Positive, no issues",No
843,Shim worn out quickly,Yes
844,Shim broke after 2 months,Yes
845,"Positive, no issues",No
846,Crack appeared,Yes
847,Shim broke after 2 months,Yes
848,Shim worn out quickly,Yes
849,Crack appeared,Yes
850,"Positive, no issues",No
851,Crack appeared,Yes
852,Crack appeared,Yes
853,"Positive, no issues",No
854,Crack appeared,Yes
855,"Positive, no issues",No
856,"Positive, no issues",No
857,"Positive, no issues",No
858,"Positive, no issues",No
859,"Positive, no issues",No
860,Shim worn out quickly,Yes
861,"Positive, no issues",No
862,Shim broke after 2 months,Yes
863,Shim broke after 2 months,Yes
864,Shim worn out quickly,Yes
865,Shim worn out quickly,Yes
866,"Positive, no issues",No
867,"Positive, no issues",No
868,Crack appeared,Yes
869,Shim worn out quickly,Yes
870,"Positive, no issues",No
871,"Positive, no issues",No
872,Crack appeared,Yes
873,Crack appeared,Yes
874,"Positive, no issues",No
875,Shim worn out quickly,Yes
876,"Positive, no issues",No
877,Crack appeared,Yes
878,Crack appeared,Yes
879,"Positive, no issues",No
880,Crack appeared,Yes
881,"Positive, no issues",No
882,Shim worn out quickly,Yes
883,Crack appeared,Yes
884,Shim worn out quickly,Yes
885,Shim broke after 2 months,Yes
886,"Positive, no issues",No
887,"Positive, no issues",No
888,"Positive, no issues",No
889,"Positive, no issues",No
890,"Positive, no issues",No
891,"Positive, no issues",No
892,"Positive, no issues",No
893,"Positive, no issues",No
894,"Positive, no issues",No
895,"Positive, no issues",No
896,"Positive, no issues",No
897,"Positive, no issues",No
898,"Positive, no issues",No
899,Shim broke after 2 months,Yes
900,"Positive, no issues",No
901,Crack appeared,Yes
902,Shim worn out quickly,Yes
903,"Positive, no issues",No
904,Shim worn out quickly,Yes
905,Shim broke after 2 months,Yes
906,Shim broke after 2 months,Yes
907,"Positive, no issues",No
908,Crack appeared,Yes
909,Shim broke after 2 months,Yes
910,"Positive, no issues",No
911,"Positive, no issues",No
912,"Positive, no issues",No
913,Shim worn out quickly,Yes
914,Crack appeared,Yes
915,"Positive, no issues",No
916,"Positive, no issues",No
917,Shim worn out quickly,Yes
918,"Positive, no issues",No
919,Crack appeared,Yes
920,Crack appeared,Yes
921,"Positive, no issues",No
922,"Positive, no issues",No
923,"Positive, no issues",No
924,Shim worn out quickly,Yes
925,Crack appeared,Yes
926,"Positive, no issues",No
927,"Positive, no issues",No
928,"Positive, no issues",No
929,"Positive, no issues",No
930,Crack appeared,Yes
931,"Positive, no issues",No
932,Shim worn out quickly,Yes
933,Shim worn out quickly,Yes
934,"Positive, no issues",No
935,Crack appeared,Yes
936,"Positive, no issues",No
937,Crack appeared,Yes
938,"Positive, no issues",No
939,Shim broke after 2 months,Yes
940,Shim broke after 2 months,Yes
941,Crack appeared,Yes
942,"Positive, no issues",No
943,Shim worn out quickly,Yes
944,"Positive, no issues",No
945,Shim broke after 2 months,Yes
946,"Positive, no issues",No
947,Shim broke after 2 months,Yes
948,Shim broke after 2 months,Yes
949,Shim broke after 2 months,Yes
950,Shim broke after 2 months,Yes
951,Crack appeared,Yes
952,Shim broke after 2 months,Yes
953,"Positive, no issues",No
954,"Positive, no issues",No
955,"Positive, no issues",No
956,"Positive, no issues",No
957,Crack appeared,Yes
958,"Positive, no issues",No
959,Shim broke after 2 months,Yes
960,Shim worn out quickly,Yes
961,"Positive, no issues",No
962,"Positive, no issues",No
963,Shim worn out quickly,Yes
964,"Positive, no issues",No
965,"Positive, no issues",No
966,"Positive, no issues",No
967,"Positive, no issues",No
968,"Positive, no issues",No
969,Shim worn out quickly,Yes
970,"Positive, no issues",No
971,"Positive, no issues",No
972,"Positive, no issues",No
973,Shim worn out quickly,Yes
974,Crack appeared,Yes
975,Crack appeared,Yes
976,"Positive, no issues",No
977,"Positive, no issues",No
978,Shim worn out quickly,Yes
979,"Positive, no issues",No
980,Shim worn out quickly,Yes
981,Shim worn out quickly,Yes
982,Crack appeared,Yes
983,"Positive, no issues",No
984,Shim broke after 2 months,Yes
985,Shim broke after 2 months,Yes
986,Shim broke after 2 months,Yes
