ShimID,Diameter (mm),Production Month,Screw Parameters,Handlebar Width (mm)
51,32,2022-04,Type A / 6mm,732
52,25,2023-03,Type C / 4mm,753
53,22,2022-05,Type A / 6mm,782
54,36,2023-02,Type B / 6mm,732
55,20,2022-11,Type C / 6mm,784
56,21,2022-11,Type C / 4mm,691
57,23,2023-01,Type A / 6mm,785
58,23,2023-03,Type A / 6mm,768
59,24,2022-11,Type C / 6mm,712
60,33,2023-10,Type C / 5mm,702
61,29,2023-05,Type C / 4mm,759
62,30,2023-06,Type B / 4mm,646
63,35,2023-03,Type C / 5mm,712
64,37,2023-05,Type A / 6mm,799
65,30,2022-10,Type A / 4mm,706
66,36,2022-11,Type B / 4mm,712
67,25,2022-09,Type A / 6mm,726
68,34,2022-05,Type C / 6mm,683
69,35,2022-06,Type C / 6mm,799
70,29,2022-03,Type B / 6mm,650
71,39,2022-09,Type C / 4mm,671
72,22,2022-04,Type B / 5mm,673
73,37,2023-08,Type A / 5mm,736
74,26,2022-04,Type A / 4mm,689
75,22,2023-01,Type B / 5mm,691
76,38,2022-02,Type B / 5mm,781
77,26,2022-12,Type A / 4mm,767
78,24,2022-09,Type B / 5mm,694
79,32,2023-10,Type B / 4mm,794
80,33,2023-01,Type A / 4mm,659
81,20,2022-03,Type C / 6mm,800
82,35,2022-09,Type B / 5mm,753
83,37,2022-10,Type C / 4mm,686
84,28,2023-12,Type C / 6mm,740
85,29,2022-10,Type A / 5mm,690
86,31,2023-03,Type A / 5mm,749
87,21,2023-02,Type A / 4mm,678
88,29,2023-12,Type A / 6mm,677
89,22,2022-09,Type B / 6mm,664
90,33,2022-09,Type B / 4mm,799
91,35,2022-09,Type C / 5mm,659
92,36,2022-04,Type C / 6mm,776
93,39,2023-11,Type C / 5mm,788
94,27,2022-03,Type C / 5mm,662
95,21,2022-08,Type B / 4mm,758
96,28,2023-12,Type B / 6mm,649
97,33,2023-10,Type B / 4mm,780
98,23,2023-05,Type A / 4mm,660
99,40,2022-02,Type B / 4mm,664
100,26,2023-07,Type B / 6mm,690
101,35,2022-01,Type C / 6mm,700
102,33,2023-10,Type C / 4mm,762
103,20,2023-04,Type C / 5mm,714
104,38,2022-03,Type C / 4mm,658
105,39,2022-07,Type B / 5mm,791
106,34,2023-07,Type B / 6mm,698
107,23,2023-12,Type B / 6mm,696
108,34,2022-12,Type B / 4mm,665
109,40,2023-04,Type A / 6mm,709
110,39,2023-07,Type A / 5mm,669
111,26,2022-01,Type C / 6mm,643
112,26,2022-04,Type B / 4mm,731
113,37,2023-01,Type A / 5mm,759
114,40,2022-08,Type A / 6mm,741
115,25,2022-06,Type A / 4mm,710
116,26,2023-02,Type C / 4mm,698
117,29,2023-11,Type A / 4mm,653
118,35,2023-04,Type B / 5mm,714
119,36,2022-02,Type A / 6mm,645
120,30,2022-11,Type B / 5mm,644
121,39,2022-08,Type A / 6mm,661
122,37,2023-04,Type B / 6mm,663
123,22,2022-12,Type B / 5mm,743
124,21,2022-05,Type C / 6mm,790
125,33,2022-12,Type A / 4mm,655
126,28,2023-03,Type C / 4mm,721
127,34,2022-10,Type C / 5mm,641
128,34,2023-08,Type A / 4mm,717
129,34,2023-10,Type A / 6mm,757
130,29,2023-01,Type B / 5mm,690
131,27,2022-08,Type A / 5mm,694
132,37,2022-11,Type C / 6mm,729
133,26,2023-06,Type C / 5mm,741
134,34,2022-09,Type A / 4mm,714
135,31,2023-08,Type A / 5mm,684
136,31,2023-04,Type A / 4mm,665
137,29,2022-12,Type B / 5mm,672
138,30,2023-02,Type C / 4mm,796
139,32,2022-04,Type A / 5mm,699
140,27,2022-11,Type C / 4mm,710
141,32,2023-02,Type B / 5mm,647
142,27,2022-09,Type C / 6mm,790
143,31,2023-05,Type C / 5mm,719
144,40,2022-02,Type C / 4mm,752
145,38,2022-09,Type C / 6mm,698
146,33,2022-06,Type C / 5mm,689
147,27,2022-06,Type A / 6mm,773
148,40,2023-08,Type B / 6mm,716
149,34,2023-04,Type C / 5mm,687
150,28,2023-07,Type C / 4mm,705
151,28,2023-09,Type B / 4mm,728
152,35,2022-02,Type A / 4mm,668
153,23,2023-03,Type B / 6mm,790
154,36,2023-07,Type A / 6mm,672
155,25,2023-03,Type B / 6mm,731
156,25,2023-09,Type C / 4mm,776
157,22,2023-05,Type A / 6mm,787
158,35,2022-03,Type C / 5mm,757
159,39,2023-01,Type B / 5mm,760
160,22,2023-12,Type C / 6mm,682
161,32,2022-01,Type C / 6mm,732
162,32,2023-09,Type B / 5mm,646
163,24,2023-04,Type A / 5mm,678
164,22,2022-07,Type A / 5mm,734
165,32,2023-12,Type A / 6mm,778
166,32,2022-03,Type A / 5mm,793
167,20,2022-01,Type A / 4mm,714
168,30,2022-03,Type C / 5mm,647
169,26,2023-08,Type A / 5mm,678
170,34,2023-07,Type B / 4mm,726
171,30,2022-11,Type A / 4mm,722
172,27,2022-06,Type C / 4mm,653
173,40,2023-10,Type A / 4mm,708
174,21,2023-06,Type B / 4mm,704
175,32,2023-08,Type C / 4mm,721
176,29,2022-10,Type C / 5mm,654
177,38,2023-09,Type C / 5mm,729
178,32,2023-03,Type A / 5mm,710
179,23,2022-08,Type B / 5mm,753
180,39,2022-10,Type B / 6mm,737
181,35,2022-04,Type C / 6mm,763
182,36,2023-04,Type B / 6mm,700
183,38,2023-12,Type C / 5mm,737
184,38,2023-06,Type B / 6mm,678
185,36,2023-10,Type C / 4mm,669
186,27,2023-02,Type B / 6mm,717
187,22,2023-11,Type B / 6mm,669
188,28,2022-04,Type C / 5mm,654
189,40,2023-05,Type B / 6mm,787
190,32,2023-10,Type A / 6mm,783
191,25,2023-01,Type A / 4mm,648
192,39,2023-12,Type B / 6mm,695
193,22,2023-08,Type A / 4mm,794
194,39,2023-03,Type C / 4mm,773
195,29,2023-05,Type A / 6mm,797
196,39,2022-04,Type A / 6mm,739
197,33,2023-08,Type C / 5mm,684
198,30,2022-09,Type B / 5mm,772
199,32,2022-09,Type A / 5mm,704
200,24,2023-08,Type A / 6mm,787
201,36,2022-03,Type C / 4mm,685
202,38,2023-03,Type B / 6mm,725
203,22,2022-07,Type B / 5mm,709
204,25,2022-01,Type B / 4mm,793
205,28,2023-09,Type A / 6mm,789
206,27,2022-05,Type A / 4mm,790
207,37,2022-06,Type A / 5mm,730
208,40,2023-08,Type B / 6mm,646
209,23,2023-01,Type B / 5mm,760
210,32,2023-07,Type A / 6mm,757
211,27,2023-11,Type C / 5mm,761
212,30,2022-11,Type C / 4mm,698
213,30,2022-11,Type C / 6mm,688
214,31,2023-08,Type C / 5mm,704
215,35,2022-06,Type B / 5mm,680
216,37,2022-09,Type A / 6mm,707
217,26,2022-03,Type B / 5mm,731
218,29,2022-02,Type B / 6mm,774
219,21,2022-03,Type A / 5mm,697
220,30,2022-12,Type B / 6mm,785
221,20,2022-12,Type C / 5mm,783
222,28,2022-05,Type A / 4mm,765
223,21,2023-08,Type B / 4mm,731
224,37,2023-03,Type C / 6mm,706
225,32,2022-12,Type C / 4mm,712
226,22,2023-10,Type B / 4mm,659
227,24,2022-02,Type C / 5mm,694
228,40,2023-10,Type A / 6mm,756
229,34,2022-09,Type A / 6mm,650
230,35,2022-04,Type C / 6mm,676
231,39,2023-02,Type C / 4mm,798
232,26,2023-02,Type C / 5mm,759
233,31,2022-03,Type A / 6mm,657
234,30,2023-12,Type B / 5mm,737
235,32,2022-10,Type C / 6mm,717
236,27,2023-01,Type B / 6mm,703
237,27,2022-07,Type A / 4mm,758
238,38,2022-12,Type C / 5mm,720
239,26,2023-04,Type A / 5mm,656
240,37,2023-03,Type A / 6mm,664
241,31,2022-11,Type C / 5mm,691
242,22,2022-09,Type C / 6mm,701
243,38,2023-03,Type C / 5mm,725
244,31,2022-06,Type C / 6mm,662
245,23,2022-10,Type C / 5mm,642
246,31,2023-03,Type C / 6mm,668
247,33,2022-04,Type C / 4mm,731
248,31,2022-10,Type C / 6mm,751
249,37,2022-02,Type A / 5mm,716
250,32,2023-04,Type C / 4mm,641
251,29,2022-01,Type A / 5mm,661
252,31,2022-08,Type B / 4mm,750
253,28,2022-08,Type C / 6mm,761
254,36,2022-09,Type B / 6mm,790
255,23,2023-04,Type C / 6mm,792
256,35,2022-12,Type A / 6mm,729
257,26,2023-01,Type B / 4mm,751
258,30,2023-10,Type B / 4mm,713
259,38,2022-03,Type C / 4mm,774
260,28,2023-04,Type B / 5mm,773
261,34,2023-01,Type C / 5mm,748
262,29,2023-01,Type B / 4mm,717
263,38,2022-07,Type A / 4mm,768
264,38,2023-11,Type C / 6mm,745
265,35,2022-11,Type A / 6mm,745
266,35,2022-11,Type C / 5mm,764
267,27,2023-04,Type A / 6mm,783
268,27,2022-02,Type C / 4mm,701
269,21,2023-02,Type B / 4mm,699
270,25,2022-02,Type B / 5mm,660
271,37,2022-05,Type A / 5mm,703
272,23,2022-04,Type B / 5mm,664
273,33,2022-09,Type A / 6mm,748
274,33,2022-05,Type A / 5mm,684
275,24,2022-06,Type A / 5mm,743
276,23,2023-10,Type A / 5mm,665
277,28,2022-11,Type C / 4mm,797
278,23,2022-08,Type C / 6mm,655
279,21,2023-02,Type C / 6mm,773
280,30,2022-03,Type C / 5mm,650
281,39,2023-02,Type A / 6mm,769
282,33,2023-08,Type C / 6mm,749
283,23,2022-02,Type A / 4mm,751
284,38,2022-08,Type C / 4mm,765
285,29,2023-04,Type B / 5mm,697
286,21,2023-10,Type C / 4mm,690
287,35,2023-01,Type A / 6mm,761
288,34,2023-06,Type C / 6mm,682
289,34,2022-01,Type B / 5mm,680
290,34,2023-02,Type C / 5mm,723
291,34,2022-08,Type B / 5mm,725
292,29,2023-09,Type A / 6mm,719
293,22,2022-01,Type C / 6mm,740
294,29,2022-10,Type C / 5mm,679
295,21,2022-05,Type B / 5mm,755
296,22,2023-03,Type B / 5mm,779
297,20,2023-10,Type B / 4mm,794
298,27,2023-07,Type B / 6mm,719
299,37,2023-09,Type A / 4mm,710
300,33,2023-09,Type C / 6mm,651
301,35,2023-12,Type C / 4mm,671
302,26,2022-08,Type C / 4mm,653
303,28,2022-06,Type B / 6mm,643
304,23,2022-09,Type A / 6mm,748
305,38,2022-02,Type B / 6mm,642
306,22,2023-12,Type C / 4mm,685
307,21,2022-12,Type B / 5mm,664
308,25,2022-12,Type A / 4mm,747
309,35,2022-04,Type B / 6mm,704
310,31,2023-09,Type C / 6mm,763
311,34,2022-09,Type C / 5mm,727
312,35,2023-07,Type A / 6mm,679
313,32,2022-11,Type B / 4mm,767
314,35,2023-12,Type C / 4mm,717
315,21,2022-06,Type B / 5mm,664
316,24,2022-09,Type B / 4mm,692
317,27,2023-04,Type C / 5mm,735
318,33,2023-11,Type C / 5mm,745
319,25,2023-10,Type B / 6mm,763
320,34,2023-10,Type B / 4mm,748
321,39,2022-12,Type C / 6mm,642
322,39,2023-10,Type A / 6mm,764
323,33,2022-12,Type A / 5mm,757
324,37,2023-06,Type C / 4mm,708
325,35,2023-06,Type B / 6mm,662
326,28,2023-08,Type B / 6mm,697
327,36,2023-01,Type B / 6mm,701
328,36,2023-02,Type B / 5mm,737
329,30,2023-07,Type A / 4mm,697
330,39,2022-10,Type A / 6mm,663
331,34,2023-11,Type A / 6mm,685
332,32,2023-06,Type A / 5mm,793
333,32,2023-03,Type B / 4mm,686
334,33,2022-09,Type C / 5mm,732
335,37,2022-04,Type A / 6mm,758
336,25,2023-10,Type B / 5mm,717
337,32,2023-06,Type B / 4mm,696
338,23,2023-02,Type B / 5mm,696
339,31,2023-11,Type B / 4mm,679
340,35,2022-03,Type C / 6mm,703
341,22,2023-03,Type C / 6mm,657
342,39,2023-02,Type A / 4mm,763
343,36,2023-04,Type B / 4mm,723
344,33,2022-01,Type B / 5mm,690
345,20,2023-10,Type B / 6mm,653
346,40,2023-04,Type C / 6mm,644
347,21,2022-10,Type A / 4mm,725
348,37,2022-05,Type A / 4mm,715
349,32,2022-10,Type A / 5mm,744
350,24,2023-06,Type B / 4mm,679
351,23,2023-09,Type C / 4mm,746
352,40,2023-09,Type C / 4mm,759
353,27,2023-04,Type B / 4mm,643
354,22,2023-02,Type A / 6mm,723
355,39,2022-07,Type C / 6mm,800
356,31,2022-11,Type A / 5mm,733
357,39,2022-11,Type B / 5mm,702
358,21,2022-04,Type C / 4mm,706
359,34,2022-01,Type C / 5mm,653
360,24,2022-01,Type C / 6mm,654
361,28,2023-09,Type B / 5mm,734
362,22,2023-06,Type C / 5mm,760
363,30,2022-12,Type A / 5mm,712
364,37,2023-06,Type A / 4mm,660
365,21,2022-01,Type C / 6mm,796
366,20,2022-02,Type C / 4mm,740
367,21,2023-07,Type C / 6mm,648
368,25,2023-12,Type B / 6mm,747
369,31,2023-12,Type A / 6mm,737
370,24,2023-10,Type C / 4mm,748
371,34,2022-01,Type C / 6mm,785
372,38,2023-10,Type A / 6mm,789
373,34,2022-12,Type B / 5mm,779
374,31,2023-08,Type C / 4mm,797
375,23,2022-10,Type C / 6mm,738
376,25,2023-03,Type C / 5mm,751
377,37,2023-10,Type A / 4mm,719
378,34,2023-06,Type A / 5mm,647
379,36,2022-05,Type C / 5mm,746
380,33,2022-04,Type B / 4mm,769
381,28,2023-01,Type C / 5mm,656
382,35,2023-07,Type B / 4mm,661
383,36,2023-01,Type C / 4mm,704
384,27,2022-12,Type C / 5mm,752
385,32,2023-02,Type B / 6mm,795
386,26,2023-04,Type A / 6mm,767
387,31,2023-10,Type A / 5mm,644
388,39,2022-01,Type B / 4mm,790
389,39,2022-05,Type A / 4mm,665
390,31,2023-07,Type C / 4mm,724
391,39,2023-03,Type B / 5mm,771
392,27,2022-10,Type B / 5mm,750
393,30,2022-06,Type C / 6mm,706
394,28,2023-09,Type A / 6mm,648
395,39,2023-02,Type C / 6mm,670
396,27,2023-01,Type A / 5mm,775
397,38,2023-09,Type B / 5mm,747
398,27,2023-05,Type C / 6mm,685
399,35,2022-04,Type C / 5mm,669
400,32,2022-05,Type A / 5mm,709
401,31,2023-03,Type A / 6mm,777
402,32,2022-10,Type C / 6mm,754
403,25,2023-12,Type C / 5mm,782
404,26,2023-05,Type C / 5mm,667
405,37,2023-11,Type C / 4mm,776
406,28,2022-03,Type B / 5mm,783
407,36,2022-10,Type C / 6mm,751
408,23,2023-01,Type C / 4mm,704
409,31,2023-01,Type A / 5mm,645
410,35,2023-06,Type C / 5mm,757
411,35,2023-12,Type B / 4mm,693
412,38,2023-07,Type A / 4mm,775
413,28,2023-05,Type C / 4mm,667
414,21,2023-03,Type B / 5mm,678
415,32,2023-02,Type C / 5mm,731
416,22,2022-11,Type A / 6mm,681
417,34,2023-09,Type C / 5mm,766
418,24,2023-08,Type A / 4mm,660
419,32,2023-08,Type B / 4mm,662
420,20,2022-02,Type A / 6mm,677
421,32,2022-01,Type B / 5mm,699
422,22,2022-02,Type A / 4mm,740
423,35,2023-08,Type C / 4mm,659
424,29,2023-09,Type C / 6mm,679
425,35,2023-12,Type C / 6mm,728
426,24,2023-11,Type B / 6mm,741
427,23,2023-12,Type B / 4mm,732
428,40,2022-06,Type B / 4mm,741
429,35,2022-02,Type C / 6mm,648
430,27,2022-01,Type B / 5mm,714
431,20,2022-11,Type C / 4mm,673
432,21,2022-07,Type B / 6mm,776
433,26,2023-12,Type B / 4mm,751
434,24,2022-08,Type A / 6mm,715
435,29,2022-08,Type B / 5mm,689
436,24,2023-05,Type B / 4mm,711
437,20,2022-06,Type A / 4mm,794
438,26,2022-07,Type C / 4mm,798
439,34,2022-07,Type C / 6mm,771
440,30,2023-03,Type B / 5mm,717
441,33,2022-01,Type B / 5mm,744
442,20,2022-12,Type B / 6mm,721
443,25,2022-07,Type A / 5mm,763
444,24,2023-12,Type A / 5mm,717
445,29,2023-06,Type A / 6mm,792
446,21,2022-03,Type C / 4mm,774
447,35,2022-05,Type A / 6mm,650
448,27,2023-10,Type B / 6mm,676
449,39,2022-10,Type C / 5mm,695
450,27,2022-06,Type C / 5mm,645
451,40,2023-10,Type A / 6mm,651
452,37,2022-01,Type B / 6mm,724
453,38,2022-09,Type A / 5mm,786
454,24,2022-11,Type A / 4mm,683
455,22,2023-03,Type B / 6mm,684
456,24,2023-12,Type B / 6mm,664
457,22,2023-05,Type C / 4mm,768
458,36,2023-12,Type C / 5mm,703
459,35,2023-06,Type B / 5mm,709
460,28,2023-07,Type C / 6mm,697
461,30,2023-08,Type C / 5mm,647
462,27,2023-04,Type A / 5mm,718
463,40,2022-08,Type A / 5mm,697
464,29,2022-05,Type B / 5mm,750
465,34,2022-12,Type C / 5mm,693
466,29,2023-10,Type C / 4mm,727
467,26,2022-09,Type C / 6mm,775
468,38,2023-12,Type A / 4mm,717
469,20,2023-08,Type A / 4mm,780
470,25,2022-02,Type C / 5mm,768
471,29,2022-01,Type C / 4mm,749
472,22,2022-09,Type B / 4mm,757
473,20,2023-02,Type C / 4mm,778
474,29,2022-12,Type C / 4mm,698
475,24,2022-06,Type C / 6mm,674
476,36,2023-01,Type B / 4mm,761
477,30,2023-01,Type B / 6mm,777
478,35,2023-02,Type B / 4mm,681
479,40,2023-01,Type C / 4mm,768
480,21,2023-07,Type A / 4mm,699
481,37,2022-10,Type B / 5mm,764
482,20,2023-04,Type C / 4mm,700
483,22,2022-11,Type C / 6mm,799
484,20,2022-12,Type A / 5mm,740
485,21,2023-12,Type B / 4mm,696
486,27,2022-04,Type A / 6mm,769
487,38,2023-09,Type C / 5mm,680
488,35,2022-10,Type C / 6mm,734
489,24,2022-07,Type C / 5mm,750
490,33,2023-11,Type B / 6mm,691
491,32,2023-01,Type C / 5mm,740
492,36,2023-07,Type C / 5mm,690
493,38,2022-06,Type B / 5mm,660
494,38,2023-03,Type B / 5mm,679
495,35,2023-07,Type C / 6mm,793
496,37,2023-06,Type C / 5mm,705
497,21,2023-05,Type C / 6mm,653
498,35,2022-08,Type C / 5mm,691
499,28,2022-06,Type B / 5mm,793
500,23,2022-02,Type B / 5mm,796
501,38,2023-06,Type B / 5mm,745
502,23,2022-04,Type B / 6mm,767
503,31,2023-02,Type A / 4mm,679
504,39,2022-02,Type A / 5mm,725
505,40,2022-06,Type B / 5mm,717
506,27,2023-04,Type B / 6mm,724
507,30,2022-10,Type C / 5mm,705
508,37,2023-11,Type B / 6mm,726
509,35,2023-07,Type B / 6mm,713
510,21,2023-03,Type A / 6mm,693
511,21,2022-07,Type C / 5mm,782
512,34,2022-12,Type A / 4mm,682
513,31,2022-10,Type B / 5mm,750
514,40,2022-02,Type B / 4mm,751
515,23,2023-01,Type A / 6mm,796
516,33,2023-07,Type B / 5mm,752
517,27,2022-10,Type A / 4mm,659
518,34,2023-06,Type A / 6mm,781
519,31,2022-08,Type C / 6mm,674
520,20,2023-07,Type B / 5mm,796
521,33,2023-11,Type C / 4mm,708
522,32,2023-08,Type B / 4mm,741
523,38,2022-05,Type A / 4mm,755
524,29,2023-04,Type A / 4mm,788
525,37,2022-12,Type C / 4mm,775
526,22,2022-06,Type A / 5mm,658
527,34,2022-07,Type B / 4mm,692
528,20,2023-01,Type C / 5mm,694
529,33,2023-08,Type B / 4mm,744
530,37,2023-12,Type B / 4mm,645
531,21,2022-12,Type B / 4mm,653
532,22,2022-12,Type C / 6mm,672
533,29,2023-12,Type A / 6mm,786
534,25,2022-06,Type B / 4mm,776
535,23,2023-11,Type A / 5mm,663
536,40,2022-09,Type B / 5mm,769
537,28,2023-12,Type A / 4mm,749
538,28,2022-10,Type B / 4mm,741
539,23,2023-08,Type C / 4mm,658
540,27,2023-11,Type A / 6mm,723
541,21,2022-12,Type A / 6mm,679
542,40,2022-09,Type B / 5mm,746
543,31,2022-12,Type C / 5mm,687
544,27,2022-07,Type B / 4mm,721
545,28,2022-07,Type B / 4mm,796
546,30,2022-02,Type C / 6mm,663
547,33,2022-12,Type B / 4mm,679
548,33,2023-04,Type A / 5mm,772
549,39,2023-08,Type A / 4mm,653
550,34,2023-02,Type A / 4mm,708
551,39,2023-10,Type A / 4mm,687
552,35,2023-07,Type B / 6mm,640
553,29,2023-06,Type C / 5mm,764
554,36,2023-07,Type A / 4mm,793
555,29,2023-04,Type C / 4mm,796
556,34,2023-09,Type A / 4mm,759
557,29,2022-11,Type B / 5mm,776
558,29,2022-07,Type B / 6mm,666
559,26,2023-08,Type C / 5mm,727
560,29,2023-03,Type B / 4mm,774
561,37,2023-03,Type A / 5mm,748
562,25,2023-08,Type B / 6mm,718
563,28,2022-11,Type B / 4mm,688
564,34,2022-02,Type C / 4mm,750
565,39,2022-04,Type B / 6mm,691
566,22,2022-02,Type A / 4mm,681
567,38,2022-05,Type C / 6mm,734
568,32,2022-10,Type C / 4mm,716
569,32,2023-07,Type C / 5mm,673
570,23,2023-06,Type C / 5mm,678
571,21,2023-08,Type C / 5mm,708
572,34,2023-03,Type A / 6mm,723
573,38,2023-12,Type C / 6mm,672
574,25,2023-01,Type A / 4mm,697
575,23,2023-02,Type B / 5mm,649
576,37,2023-01,Type A / 5mm,785
577,32,2023-01,Type A / 4mm,798
578,24,2022-04,Type C / 4mm,664
579,30,2023-10,Type C / 4mm,665
580,21,2022-11,Type B / 6mm,726
581,24,2022-11,Type A / 6mm,729
582,34,2022-10,Type C / 6mm,740
583,30,2022-05,Type B / 6mm,730
584,37,2022-07,Type B / 6mm,714
585,28,2022-11,Type B / 6mm,680
586,29,2023-06,Type B / 4mm,772
587,25,2023-06,Type C / 6mm,653
588,22,2022-10,Type A / 4mm,779
589,21,2022-06,Type C / 6mm,700
590,34,2022-04,Type A / 4mm,776
591,40,2022-04,Type C / 5mm,760
592,24,2023-04,Type B / 5mm,646
593,27,2022-01,Type B / 4mm,791
594,23,2023-06,Type C / 4mm,657
595,21,2023-02,Type C / 5mm,768
596,28,2022-03,Type C / 4mm,759
597,28,2022-03,Type B / 4mm,667
598,20,2023-09,Type B / 4mm,676
599,22,2023-08,Type B / 6mm,776
600,27,2023-12,Type B / 4mm,677
601,34,2022-09,Type A / 4mm,660
602,20,2022-04,Type C / 6mm,707
603,34,2022-06,Type B / 4mm,640
604,35,2022-07,Type B / 4mm,720
605,22,2023-11,Type A / 6mm,667
606,34,2023-04,Type C / 5mm,664
607,32,2023-02,Type B / 4mm,795
608,25,2022-02,Type C / 4mm,701
609,38,2023-10,Type C / 6mm,781
610,35,2023-06,Type B / 5mm,651
611,40,2023-07,Type C / 4mm,721
612,24,2023-06,Type B / 4mm,737
613,24,2023-01,Type B / 5mm,684
614,33,2023-06,Type C / 6mm,765
615,24,2023-04,Type C / 4mm,783
616,29,2022-05,Type B / 4mm,796
617,20,2023-11,Type B / 4mm,779
618,40,2023-01,Type A / 4mm,706
619,26,2022-04,Type A / 4mm,697
620,25,2022-12,Type A / 4mm,764
621,39,2022-11,Type A / 4mm,798
622,30,2023-06,Type C / 6mm,656
623,33,2022-01,Type A / 6mm,673
624,33,2023-02,Type A / 5mm,686
625,31,2023-08,Type C / 4mm,731
626,22,2022-11,Type A / 6mm,758
627,36,2023-10,Type C / 5mm,751
628,21,2023-10,Type A / 6mm,765
629,28,2023-03,Type C / 6mm,792
630,35,2022-04,Type A / 6mm,656
631,27,2022-12,Type B / 4mm,789
632,39,2022-02,Type B / 6mm,658
633,34,2023-06,Type C / 5mm,743
634,28,2022-03,Type B / 4mm,672
635,30,2022-10,Type A / 5mm,787
636,36,2022-08,Type B / 5mm,727
637,40,2023-12,Type B / 5mm,749
638,21,2023-11,Type A / 6mm,670
639,25,2024-01,Type C / 4mm,782
640,26,2023-07,Type B / 5mm,739
641,32,2022-05,Type A / 4mm,740
642,29,2022-05,Type B / 6mm,777
643,29,2023-04,Type A / 6mm,675
644,20,2023-09,Type A / 6mm,682
645,35,2023-05,Type B / 6mm,645
646,37,2023-03,Type A / 4mm,769
647,37,2023-01,Type C / 4mm,681
648,34,2022-12,Type C / 4mm,737
649,27,2022-01,Type B / 4mm,753
650,35,2022-03,Type C / 4mm,686
651,25,2022-04,Type A / 5mm,646
652,40,2022-07,Type C / 4mm,702
653,28,2023-05,Type A / 6mm,705
654,39,2023-01,Type B / 6mm,742
655,23,2023-12,Type B / 6mm,644
656,39,2023-06,Type C / 6mm,645
657,34,2023-01,Type B / 5mm,656
658,25,2022-01,Type C / 4mm,661
659,28,2022-09,Type A / 5mm,789
660,35,2022-03,Type C / 4mm,789
661,31,2023-11,Type B / 6mm,781
662,24,2023-03,Type A / 5mm,777
663,40,2023-05,Type B / 4mm,667
664,23,2023-06,Type A / 6mm,660
665,40,2023-10,Type A / 4mm,647
666,20,2022-10,Type C / 4mm,771
667,37,2022-12,Type C / 6mm,674
668,40,2022-06,Type C / 5mm,791
669,38,2023-08,Type B / 4mm,688
670,28,2022-07,Type A / 5mm,777
671,38,2023-05,Type B / 4mm,741
672,28,2022-04,Type C / 5mm,645
673,37,2023-12,Type B / 6mm,674
674,40,2023-08,Type C / 5mm,663
675,37,2022-04,Type B / 4mm,797
676,31,2023-05,Type A / 5mm,800
677,27,2023-01,Type C / 4mm,791
678,37,2022-03,Type B / 6mm,681
679,35,2023-02,Type B / 6mm,675
680,39,2023-06,Type C / 5mm,737
681,27,2022-03,Type A / 4mm,764
682,38,2022-04,Type A / 4mm,689
683,30,2022-04,Type B / 6mm,726
684,33,2023-05,Type B / 4mm,712
685,29,2023-09,Type C / 4mm,742
686,31,2022-05,Type C / 4mm,674
687,21,2023-07,Type B / 5mm,748
688,37,2022-01,Type B / 5mm,687
689,35,2023-02,Type B / 6mm,794
690,22,2022-03,Type A / 6mm,675
691,30,2023-10,Type C / 4mm,694
692,31,2023-05,Type C / 6mm,717
693,37,2023-09,Type C / 5mm,787
694,26,2022-04,Type B / 4mm,708
695,20,2023-12,Type A / 5mm,692
696,24,2023-05,Type C / 5mm,668
